No	대분류	중분류	소분류	테스트 시나리오	테스트 조건	실행 순서	Pass Result	P/F	실제 결과	비고	Tag
91	메인메뉴	도전과제	UI 화면	도전과제 버튼 클릭 시 실제 도전과제 목록 화면이 열린다	향후 도전과제 UI 구현 후	1. 메인 메뉴에서 도전과제 버튼 클릭	도전과제 전용 화면 또는 팝업이 열리고 업적 목록이 표시된다				향후구현
92	도전과제	업적	퍼펙트 발표 연동	발표 미니게임 퍼펙트 업적이 도전과제 UI에 반영된다	도전과제 UI 및 업적 저장 표시 기능 구현 후	1. 긴장감 0으로 발표 미니게임 완료 2. 도전과제 화면 진입	발표 퍼펙트 업적이 해금 상태로 표시된다				향후구현
93	Day5	미니게임	대청소	Day5 대청소 미니게임이 시작되고 성공/실패 판정이 가능하다	Day5_BigCleaning 구현 후	1. Day5 BigCleaning 플로우 진입	대청소 전용 미니게임이 실행되고 종료 결과가 다음 단계에 반영된다				향후구현
94	Day5	미니게임	사물함 정리	Day5 사물함 정리 미니게임이 실행된다	Day5_LockerCleaning 구현 후	1. Day5 LockerCleaning 플로우 진입	사물함 정리 미니게임이 실행되고 완료 시 다음 단계로 진행된다				향후구현
95	Day5	미니게임	가방 싸기	Day5 가방 싸기 미니게임이 실행된다	Day5_BagPacking 구현 후	1. Day5 BagPacking 플로우 진입	가방 싸기 미니게임이 실행되고 완료 시 자유시간으로 전환된다				향후구현
96	Day5	스토리	점심 선택 분기	5일차 점심 선택에 따라 다른 대사 또는 결과가 분기된다	Day5_LunchChoice 분기 구현 후	1. Day5 LunchChoice 대화 진입 2. 서로 다른 선택지 선택	선택지에 따라 후속 대사나 흐름이 달라진다				향후구현
97	Day5	엔딩	엔딩 크레딧	5일차 마지막 흐름 완료 시 엔딩 크레딧이 출력된다	Day5_EndingCredits 구현 후	1. Day5 전체 흐름 완료	엔딩 크레딧 씬 또는 연출이 재생된다				향후구현
98	폰	앱	추가 앱 확장	휴대폰 홈에 신규 앱 추가 시 스플래시와 앱 전환이 정상 동작한다	신규 앱 구현 후	1. 신규 앱 버튼 클릭	스플래시 후 신규 앱 패널이 정상적으로 열린다				향후구현
99	채팅	분기	선택지 채팅	선택지 기반 채팅 또는 복수 분기 대화가 구현되면 결과가 저장된다	선택형 채팅 구현 후	1. 채팅 선택지 선택 2. 앱 재진입	선택 결과가 저장되고 후속 대화에 반영된다				향후구현
100	갤러리	해금조건	스토리/미니게임 기반 해금	스토리나 미니게임 결과에 따라 갤러리 엔트리가 자동 해금된다	추가 해금 조건 구현 후	1. 특정 조건 달성 2. 갤러리 앱 진입	해당 갤러리 항목이 자동으로 해금 상태로 변경된다				향후구현
101	벌점	결산	일차별 벌점 정산	하루 종료 시 벌점 누적 결과에 따른 후속 이벤트가 더 세분화되어 적용된다	벌점 결산 확장 구현 후	1. 다양한 벌점 상태로 하루 종료	벌점 수치에 따른 후속 분기나 제재가 차등 적용된다				향후구현
102	자유이동	NPC	스케줄 기반 배치	일차/시간대에 따라 NPC 위치와 상호작용 가능 상태가 바뀐다	NPC 스케줄 시스템 구현 후	1. 서로 다른 시간대 진입	같은 NPC라도 배치 위치 또는 대화 가능 여부가 달라진다				향후구현
103	수업2	발표타자	다중 문장 세트	발표 미니게임이 라운드마다 서로 다른 문장 세트를 사용한다	복수 발표 문장 데이터 작성 후	1. 발표 미니게임 여러 라운드 진행	라운드마다 다른 키워드와 문장이 나온다				향후구현
104	미니게임	공통	결과 화면	미니게임 종료 후 성공/실패 결과 요약 UI가 출력된다	결과 화면 구현 후	1. 임의 미니게임 성공 2. 임의 미니게임 실패	각 종료 시 결과 요약 UI가 표시된다				향후구현
105	시스템	저장/불러오기	진행도 저장	게임 종료 후 재실행해도 진행도와 주요 상태가 복원된다	정식 저장/불러오기 구현 후	1. 일차 진행 2. 게임 종료 3. 재실행	진행도, 채팅, 벌점, 갤러리 상태가 복원된다				향후구현
