No	대분류	중분류	소분류	테스트 시나리오	테스트 조건	실행 순서	Pass Result	P/F	실제 결과	비고	Tag
1	게임실행	부트	실행	게임을 실행해 메인 메뉴가 노출되는지 확인한다	빌드 실행 가능 상태	1. 게임 실행 파일 또는 Unity Play 모드로 실행한다	메인 메뉴 씬이 열리고 시작/설정/도전과제/나가기 UI가 표시된다				게임실행
2	메인메뉴	버튼	설정 열기	설정 버튼으로 설정 패널을 연다	메인 메뉴 진입 상태	1. 메인 메뉴에서 설정 버튼 클릭	설정 패널이 열리고 메인 패널은 숨겨지거나 비활성화된다				메인메뉴
3	메인메뉴	버튼	설정 닫기	뒤로가기 버튼으로 메인 메뉴로 복귀한다	설정 패널 열린 상태	1. 뒤로가기 버튼 클릭	메인 패널이 다시 표시되고 설정 패널이 닫힌다				메인메뉴
4	메인메뉴	버튼	도전과제	도전과제 버튼 클릭 시 안내 문구가 출력되는지 확인한다	메인 메뉴 진입 상태	1. 도전과제 버튼 클릭	정보 라벨에 도전과제가 아직 준비 중이라는 안내가 표시된다				메인메뉴
5	메인메뉴	시작	새 게임 시작	시작 버튼 클릭 시 새 게임용 상태가 초기화되고 첫 플로우가 시작되는지 확인한다	PlayerPrefs 초기 데이터 존재 가능	1. 임의로 진행 데이터를 만든다 2. 시작 버튼 클릭	FlowManager day=1 stepIndex=0 penaltyPoints=0으로 초기화되고 CHAT 씬 또는 첫 플로우 씬으로 전환된다				메인메뉴
6	메인메뉴	전환	시작 연출	시작 시 줌/페이드 전환이 실행되는지 확인한다	메인 메뉴 진입 상태	1. 시작 버튼 클릭	카메라 또는 루트가 확대 연출 후 페이드 아웃되고 다음 씬에서 페이드 인이 적용된다				메인메뉴
7	메인메뉴	버튼	나가기	나가기 버튼이 종료 동작을 호출하는지 확인한다	빌드 또는 에디터 상태	1. 나가기 버튼 클릭	빌드에서는 애플리케이션이 종료되고 에디터에서는 Play 모드가 종료된다				메인메뉴
8	설정	언어	토글	언어 토글 버튼이 한국어/영어를 전환하는지 확인한다	설정 패널 열린 상태	1. 언어 버튼 클릭 2. 다시 한 번 클릭	언어 버튼 라벨과 연결된 UI 텍스트가 한국어/영어로 전환된다				설정
9	설정	오디오	볼륨 슬라이더	볼륨 슬라이더 조작 시 AudioListener.volume 이 변경되는지 확인한다	설정 패널 열린 상태	1. 슬라이더를 최소로 이동 2. 최대로 이동	전역 볼륨 값이 슬라이더 값과 동일하게 반영된다				설정
10	설정	키설정	왼쪽 이동 키 변경	왼쪽 이동 키를 다른 키로 재바인드한다	설정 패널 열린 상태	1. Left 버튼 클릭 2. 임의 키 입력	안내 문구가 표시된 뒤 해당 키로 변경되고 버튼 라벨이 갱신된다				설정
